,toehold switch,,,,,,,,RNA input,,,,,,
Toehold switch number,ON/OFF,Probability,loop_number,toehold_length,stem_length,loop_size,end_length,MFE,Probability2,loop_number2,toehold_length2,stem_length2,loop_size2,end_length2,MFE2
123,6.8,0.661,1,10,2,4,2,-1.1,0.952,1,0,5,3,6,-4.8
124,6.4,0.25,2,0,6,8,0,-0.3,0.347,2,0,4,7,4,-1.9
125,6,0.567,0,0,0,0,20,0,0.32,1,2,2,4,9,-2.6
126,5.9,0.345,0,0,0,0,20,0,0.712,2,0,6,5,2,-5.9
127,5.8,0.309,0,0,0,0,20,0,0.347,2,0,4,7,4,-2.3
128,5.1,0.542,0,0,0,0,20,0,0.222,1,4,2,6,5,-0.8
129,4.7,0.533,2,2,4,6,4,-0.8,0.47,2,0,6,6,1,-2.3
130,4.5,0.448,1,8,2,5,3,-1,0.785,1,0,2,5,10,-2
131,4.5,0.38,1,1,3,9,4,-0.7,0.508,2,0,6,7,0,-2.4
132,3.8,0.786,1,3,3,9,2,-1.7,0.246,1,0,2,4,11,-1.5
133,3.7,0.319,0,0,0,0,20,0,0.157,2,2,4,5,4,-0.6
134,3.3,0.517,1,2,4,7,3,-1.8,0.347,2,0,4,7,4,-1.9
135,3.2,0.446,0,0,0,0,20,0,0.396,0,0,0,0,19,0
136,3.1,0.475,2,1,5,6,3,-3,0.263,1,1,4,8,2,-2.8
137,2.9,0.537,0,0,0,0,20,0,0.468,1,9,3,4,0,-2.6
138,2.9,0.765,0,0,0,0,20,0,0.658,1,2,3,8,3,-1.5
139,2.6,0.535,0,0,0,0,20,0,0.246,2,0,4,9,2,-1.5
140,2.6,0.706,0,0,0,0,20,0,0.379,2,0,4,5,6,-1.1
141,2.2,0.642,0,0,0,0,20,0,0.451,0,0,0,0,19,0
142,2.1,0.435,0,0,0,0,20,0,0.392,1,4,5,3,2,-4
143,2,0.557,1,4,3,6,4,-0.9,0.188,0,0,0,0,19,0
144,2,0.524,1,2,3,8,4,-2,0.853,1,4,5,4,1,-6.9
145,2,0.451,1,10,3,4,0,-0.6,0.347,2,0,4,7,4,-1.9
146,1.9,0.278,0,0,0,0,20,0,0.479,1,0,3,3,10,-1.9
147,1.9,0.458,0,0,0,0,20,0,0.822,1,0,3,5,8,-3.8
148,1.9,0.253,0,0,0,0,20,0,0.597,1,1,4,7,3,-5
149,1.9,0.68,0,0,0,0,20,0,0.662,1,1,3,6,6,-4.9
150,1.6,0.728,0,0,0,0,20,0,0.98,1,1,4,4,6,-6.1
151,1.5,0.388,1,0,5,4,6,-1,0.347,2,0,4,7,4,-1.9
152,1.4,0.598,1,11,2,4,1,-0.8,0.255,0,0,0,0,19,0
153,1.3,0.427,1,2,3,8,4,-2,0.403,1,1,3,9,3,-2.2
154,1.3,0.422,1,6,3,7,1,-0.4,0.283,1,1,2,4,10,-1.7
155,1.2,0.44,0,0,0,0,20,0,0.195,1,5,3,4,4,-0.2
156,1.2,0.392,1,2,3,8,4,-2,0.21,0,0,0,0,19,0
157,1.2,0.698,0,0,0,0,20,0,0.732,1,0,4,5,6,-5.2
158,1.2,0.562,0,0,0,0,20,0,0.613,1,6,3,5,2,-1.5
159,1.1,0.288,1,0,4,12,0,-0.5,0.347,2,0,4,7,4,-1.9
160,1.1,0.565,0,0,0,0,20,0,0.365,1,1,1,4,12,-1.1
161,1.1,0.313,0,0,0,0,20,0,0.433,0,0,0,0,19,0
162,1.1,0.257,1,8,2,4,4,-0.3,0.629,1,2,3,5,6,-3.8
163,1,0.716,1,2,3,10,2,-3.3,0.512,0,0,0,0,19,0
164,1,0.533,0,0,0,0,20,0,0.724,1,0,2,6,9,-1.7
165,0.9,0.564,0,0,0,0,20,0,0.638,1,3,3,7,3,-2.3
166,0.9,0.475,1,4,3,8,2,-0.4,0.564,1,5,3,6,2,-3.7
167,0.9,0.541,1,5,5,4,1,-0.6,0.795,1,2,5,7,0,-5.5
168,0.6,0.599,0,0,0,0,20,0,0.803,1,0,3,8,5,-4.4
